year,scenario,co2mass
1850,historical,2214735200000000.0
1851,historical,2215836000000000.0
1852,historical,2216960200000000.0
1853,historical,2217979600000000.0
1854,historical,2218872000000000.0
1855,historical,2219685300000000.0
1856,historical,2220487000000000.0
1857,historical,2221653400000000.0
1858,historical,2222984500000000.0
1859,historical,2224339800000000.0
1860,historical,2225833400000000.0
1861,historical,2227249900000000.0
1862,historical,2228595600000000.0
1863,historical,2229912700000000.0
1864,historical,2231236200000000.0
1865,historical,2232608700000000.0
1866,historical,2233990600000000.0
1867,historical,2235305900000000.0
1868,historical,2236476600000000.0
1869,historical,2237440500000000.0
1870,historical,2238457500000000.0
1871,historical,2239591900000000.0
1872,historical,2240952200000000.0
1873,historical,2242407700000000.0
1874,historical,2243908200000000.0
1875,historical,2245729500000000.0
1876,historical,2247567000000000.0
1877,historical,2249335000000000.0
1878,historical,2251156000000000.0
1879,historical,2252934000000000.0
1880,historical,2254864000000000.0
1881,historical,2256990600000000.0
1882,historical,2259153600000000.0
1883,historical,2261032000000000.0
1884,historical,2262896000000000.0
1885,historical,2265161700000000.0
1886,historical,2267536800000000.0
1887,historical,2270072500000000.0
1888,historical,2272723600000000.0
1889,historical,2275442800000000.0
1890,historical,2278189000000000.0
1891,historical,2280983800000000.0
1892,historical,2283642000000000.0
1893,historical,2286090000000000.0
1894,historical,2288516000000000.0
1895,historical,2290810200000000.0
1896,historical,2293054000000000.0
1897,historical,2295238800000000.0
1898,historical,2297608900000000.0
1899,historical,2300264800000000.0
1900,historical,2303161400000000.0
1901,historical,2305864900000000.0
1902,historical,2308317300000000.0
1903,historical,2310791500000000.0
1904,historical,2313224000000000.0
1905,historical,2315785200000000.0
1906,historical,2318757000000000.0
1907,historical,2322110600000000.0
1908,historical,2325342000000000.0
1909,historical,2328653000000000.0
1910,historical,2332022600000000.0
1911,historical,2335689400000000.0
1912,historical,2339696600000000.0
1913,historical,2343932500000000.0
1914,historical,2347977800000000.0
1915,historical,2352045000000000.0
1916,historical,2356187700000000.0
1917,historical,2360229200000000.0
1918,historical,2363647000000000.0
1919,historical,2366699600000000.0
1920,historical,2369900000000000.0
1921,historical,2372718200000000.0
1922,historical,2375393700000000.0
1923,historical,2378008800000000.0
1924,historical,2380578800000000.0
1925,historical,2382159900000000.0
1926,historical,2383415000000000.0
1927,historical,2384992400000000.0
1928,historical,2386275500000000.0
1929,historical,2387456000000000.0
1930,historical,2388566600000000.0
1931,historical,2390156300000000.0
1932,historical,2392217600000000.0
1933,historical,2394643700000000.0
1934,historical,2397649400000000.0
1935,historical,2401365600000000.0
1936,historical,2407175400000000.0
1937,historical,2412841000000000.0
1938,historical,2417159500000000.0
1939,historical,2421460400000000.0
1940,historical,2425436500000000.0
1941,historical,2428916700000000.0
1942,historical,2431638400000000.0
1943,historical,2433337600000000.0
1944,historical,2433622700000000.0
1945,historical,2433454000000000.0
1946,historical,2433512400000000.0
1947,historical,2434142700000000.0
1948,historical,2434618300000000.0
1949,historical,2435535000000000.0
1950,historical,2436845000000000.0
1951,historical,2438560300000000.0
1952,historical,2441016000000000.0
1953,historical,2443919300000000.0
1954,historical,2446672400000000.0
1955,historical,2449218500000000.0
1956,historical,2451474000000000.0
1957,historical,2453829200000000.0
1958,historical,2456559000000000.0
1959,historical,2460450700000000.0
1960,historical,2466385200000000.0
1961,historical,2471765200000000.0
1962,historical,2477258500000000.0
1963,historical,2482219200000000.0
1964,historical,2487246700000000.0
1965,historical,2491790200000000.0
1966,historical,2499068300000000.0
1967,historical,2504540000000000.0
1968,historical,2511248300000000.0
1969,historical,2518698500000000.0
1970,historical,2529154000000000.0
1971,historical,2536116400000000.0
1972,historical,2550560700000000.0
1973,historical,2568221000000000.0
1974,historical,2575773000000000.0
