year,fgco2,scenario
1850,0.7728279284583653,historical
1851,0.6473790567502176,historical
1852,0.93218946179602,historical
1853,0.9584583873306367,historical
1854,0.3745021304675802,historical
1855,0.061783009178602584,historical
1856,0.7701663338910347,historical
1857,0.5170229465966489,historical
1858,0.618412190229443,historical
1859,0.7646495154573809,historical
1860,-0.42447798670168974,historical
1861,-1.0224338220134404,historical
1862,0.07823320198359264,historical
1863,1.2918629766909426,historical
1864,1.400520223011202,historical
1865,0.9445433861331819,historical
1866,1.0714906260812442,historical
1867,0.6645782275735751,historical
1868,0.41543630901512896,historical
1869,0.618321353532682,historical
1870,-0.11214597912697148,historical
1871,1.2356084880463476,historical
1872,1.966753882372232,historical
1873,1.2682825593572715,historical
1874,1.9310842612617598,historical
1875,2.1812941018486893,historical
1876,2.155603233013151,historical
1877,1.865495324948787,historical
1878,1.230199402622757,historical
1879,0.45785068559636966,historical
1880,1.0282006829606507,historical
1881,1.2326014331816706,historical
1882,0.6544971459088587,historical
1883,-0.16290631666127997,historical
1884,0.1746695357670556,historical
1885,0.27616369935234636,historical
1886,0.7352437518533285,historical
1887,1.987368180285544,historical
1888,2.0746763158526136,historical
1889,0.0889726077179263,historical
1890,-0.6224137841159705,historical
1891,0.6602741887389458,historical
1892,1.446355150529363,historical
1893,1.6044924831152485,historical
1894,1.3032082395246196,historical
1895,1.268367003237671,historical
1896,0.6888639077851548,historical
1897,0.35475574506808166,historical
1898,1.4732104820091243,historical
1899,2.3722717009260217,historical
1900,2.3127221507137774,historical
1901,2.2962106735996453,historical
1902,2.496377505625437,historical
1903,2.8657026690594556,historical
1904,1.759527178750693,historical
1905,1.5206925906226525,historical
1906,0.8739623664382582,historical
1907,0.8433745872168504,historical
1908,1.5554412307132304,historical
1909,1.0542990173250637,historical
1910,1.8046847545603404,historical
1911,2.768140761186714,historical
1912,2.1316125797074816,historical
1913,1.4673271175446454,historical
1914,1.9040572368540576,historical
1915,2.3855727169222694,historical
1916,1.7862693549743633,historical
1917,1.5090002121284738,historical
1918,0.9131097754375964,historical
1919,1.7753714402554948,historical
1920,2.081014451304447,historical
1921,2.2953858622335814,historical
1922,3.1576544958722748,historical
1923,3.587726882990681,historical
1924,2.7560164500485524,historical
1925,2.356359300298777,historical
1926,2.6418471247773567,historical
1927,2.5340277847979134,historical
1928,2.478035012828058,historical
1929,1.826267690234574,historical
1930,1.8147175765295187,historical
1931,1.6886528300193278,historical
1932,2.838454868838693,historical
1933,2.6387193110064957,historical
1934,2.769177894673728,historical
1935,2.404277556897576,historical
1936,1.836303029781881,historical
1937,2.2170753061223123,historical
1938,2.9489134280612226,historical
1939,2.930194395352813,historical
1940,2.32727801444685,historical
1941,2.3224849897063713,historical
1942,3.2607125610927947,historical
1943,2.8852417520214186,historical
1944,3.0976875687360743,historical
1945,2.833231773859687,historical
1946,2.7113321115963007,historical
1947,2.7940247112643983,historical
1948,2.749883151335037,historical
1949,2.700095575884557,historical
1950,2.575775905343502,historical
1951,3.0638035844462594,historical
1952,3.5522291659676357,historical
1953,2.7382156865085014,historical
1954,2.04870775462001,historical
1955,2.871757115931836,historical
1956,4.119711189389343,historical
1957,4.62559621254818,historical
1958,4.583045457179602,historical
1959,4.147669962061354,historical
1960,3.9620867565478286,historical
1961,3.524930643864343,historical
1962,3.886716103467535,historical
1963,4.588417589608078,historical
1964,4.2488045863531125,historical
1965,4.334709858503163,historical
1966,3.7632975728385527,historical
1967,4.871030649889312,historical
1968,4.576241123862715,historical
1969,4.597157111426992,historical
1970,3.838569777164451,historical
1971,4.440429554174822,historical
1972,5.593298569846749,historical
1973,5.223252472343872,historical
1974,4.099154473187455,historical
1975,3.8611015976370315,historical
1976,5.583591560393011,historical
1977,5.883499468936868,historical
1978,5.383979204632719,historical
1979,4.936725786707098,historical
1980,6.455362200017538,historical
1981,6.31383918551279,historical
1982,5.890969857883556,historical
1983,5.38891596224302,historical
1984,5.42748264074284,historical
1985,5.760074466064931,historical
1986,5.602687140696904,historical
1987,5.657120039271719,historical
1988,5.850631023369896,historical
1989,6.717270536294323,historical
1990,7.348902612696359,historical
1991,6.917108788853419,historical
1992,6.747206854711479,historical
1993,6.070400232867503,historical
1994,6.702059875789396,historical
1995,6.727798782004287,historical
1996,6.876780511152708,historical
1997,6.80996661734375,historical
1998,7.055252283573069,historical
1999,6.9078746688166195,historical
2000,6.214041470185323,historical
2001,6.40548162547037,historical
2002,6.923283657925371,historical
2003,7.138507079540556,historical
2004,6.497375000367185,historical
2005,6.840039365786896,historical
2006,7.367243262433652,historical
2007,7.530837423686275,historical
2008,7.476289750600121,historical
2009,8.25364755168829,historical
2010,8.580587371187447,historical
2011,8.333874707392772,historical
2012,8.059272527694997,historical
2013,8.831617940467371,historical
2014,8.878659278861305,historical
2015,6.7270550324297,ssp245
2016,6.882971543442234,ssp245
2017,7.63395617390919,ssp245
2018,8.090624388543292,ssp245
2019,8.868756659898638,ssp245
2020,7.342604022749037,ssp245
2021,7.4111492266352075,ssp245
2022,8.657369501425725,ssp245
2023,9.183776843412264,ssp245
2024,9.312561230544453,ssp245
2025,8.529384583403598,ssp245
2026,9.275623998760878,ssp245
2027,9.41770378932132,ssp245
2028,9.079780297269693,ssp245
2029,8.807034424243088,ssp245
2030,9.661560964466727,ssp245
2031,9.23641171396121,ssp245
2032,9.44290896976216,ssp245
2033,9.213397620497197,ssp245
2034,9.682092372537214,ssp245
2035,9.582578076464063,ssp245
2036,10.191487943534376,ssp245
2037,10.243695873278883,ssp245
2038,10.058253057089438,ssp245
2039,10.30554561965991,ssp245
