year,tas,scenario
1850,12.740675814671874,historical
1851,12.873096369348048,historical
1852,12.875520749615987,historical
1853,12.909867386684937,historical
1854,12.9498219471364,historical
1855,12.951623799865331,historical
1856,12.756549699072707,historical
1857,12.765812705020437,historical
1858,12.866593840396263,historical
1859,12.739318304744131,historical
1860,12.707743910496447,historical
1861,12.654486361786553,historical
1862,12.703481643067164,historical
1863,12.527918587121576,historical
1864,12.61086514775667,historical
1865,12.690789914621917,historical
1866,12.831403910653023,historical
1867,12.878169209437203,historical
1868,12.808665798663299,historical
1869,12.860605651662752,historical
1870,12.857770381733928,historical
1871,12.903343217879865,historical
1872,13.031958310937341,historical
1873,12.881385051062466,historical
1874,12.706119502348145,historical
1875,12.755087730757964,historical
1876,12.82119895468179,historical
1877,12.836871597878712,historical
1878,12.680824141098526,historical
1879,12.708424678433119,historical
1880,12.664184862612103,historical
1881,12.759434055805968,historical
1882,12.78394315528243,historical
1883,12.722253223846394,historical
1884,12.42809288987047,historical
1885,12.506118908679241,historical
1886,12.638735950129274,historical
1887,12.72136566866908,historical
1888,12.715046358834627,historical
1889,12.653702232724243,historical
1890,12.73612879395705,historical
1891,12.801024184906794,historical
1892,12.807194408521639,historical
1893,12.71253565906619,historical
1894,12.722181551941844,historical
1895,12.752006756350909,historical
1896,12.83811048460808,historical
1897,12.778526129349359,historical
1898,12.70565725038665,historical
1899,12.611336825785429,historical
1900,12.711202538460668,historical
1901,12.877720837682944,historical
1902,12.731754080705116,historical
1903,12.64103049463472,historical
1904,12.715656699709768,historical
1905,12.63432024374191,historical
1906,12.761834788117824,historical
1907,12.800075752586793,historical
1908,12.773554325120756,historical
1909,12.744205977490935,historical
1910,12.687712979668902,historical
1911,12.777076462714433,historical
1912,12.700428560372075,historical
1913,12.604066480437837,historical
1914,12.700963390881611,historical
1915,12.825237282317005,historical
1916,12.64074083449026,historical
1917,12.62383609885461,historical
1918,12.559789993537379,historical
1919,12.719847131449342,historical
1920,12.757890512836696,historical
1921,12.634118554149893,historical
1922,12.635078585641452,historical
1923,12.740676819327973,historical
1924,12.723812043416899,historical
1925,12.777874191558851,historical
1926,12.885937855695829,historical
1927,12.821507365227319,historical
1928,12.766572752347031,historical
1929,12.674392603162175,historical
1930,12.732260861698876,historical
1931,12.799280968659389,historical
1932,12.761808929183132,historical
1933,12.696432276085204,historical
1934,12.739663013172787,historical
1935,12.761366287852866,historical
1936,12.9514873346547,historical
1937,12.913457288376605,historical
1938,12.781628910080428,historical
1939,12.893092872038494,historical
1940,13.026645958974143,historical
1941,12.9804381632473,historical
1942,12.826882251843415,historical
1943,12.962921939644389,historical
1944,12.88819448099963,historical
1945,12.85429977746594,historical
1946,12.731213446815673,historical
1947,12.7651207281462,historical
1948,12.933035386392362,historical
1949,13.012548347560198,historical
1950,12.878483962192888,historical
1951,13.074059272263355,historical
1952,13.021085584632317,historical
1953,12.94922616421087,historical
1954,12.777118585127312,historical
1955,12.904412871120257,historical
1956,12.843179588333385,historical
1957,12.914527786356757,historical
1958,12.752797144561498,historical
1959,12.851766241588109,historical
1960,13.073979038505058,historical
1961,12.82334036627742,historical
1962,12.718570931536817,historical
1963,12.627895787851003,historical
1964,12.584494202634403,historical
